target,action
-28.2499,"[1, 1, 3, 1]"
6.3885,"[1, 3, 2, 2]"
-48.1837,"[1, 4, 5, 4]"
-13.3266,"[1, 5, 3, 4]"
-30.9632,"[1, 1, 1, 3]"
10.2976,"[1, 6, 1, 1]"
-6.3746,"[1, 4, 1, 1]"
4.7871,"[1, 6, 1, 3]"
35.3644,"[1, 6, 2, 1]"
13.7974,"[1, 6, 3, 1]"
19.6937,"[1, 6, 2, 2]"
-29.7430,"[1, 3, 3, 6]"
28.2544,"[1, 6, 2, 1]"
33.7155,"[1, 6, 2, 1]"
29.2472,"[1, 6, 2, 1]"
15.9979,"[1, 6, 3, 2]"
34.3986,"[1, 6, 2, 1]"
12.6379,"[1, 6, 3, 1]"
-25.1298,"[1, 5, 6, 1]"
9.5473,"[1, 5, 4, 1]"
23.5060,"[1, 6, 1, 2]"
-48.9070,"[1, 1, 1, 1]"
17.7434,"[1, 6, 1, 1]"
-35.0511,"[1, 5, 1, 6]"
0.9558,"[1, 5, 3, 3]"
27.8538,"[1, 6, 2, 1]"
5.9296,"[1, 4, 1, 2]"
30.5627,"[1, 6, 2, 1]"
31.1902,"[1, 6, 2, 1]"
36.8868,"[1, 6, 2, 1]"
30.5710,"[1, 6, 2, 1]"
32.7287,"[1, 6, 2, 1]"
28.3312,"[1, 6, 2, 1]"
29.3698,"[1, 6, 2, 1]"
33.1454,"[1, 6, 2, 1]"
31.4470,"[1, 6, 2, 1]"
32.3083,"[1, 6, 2, 1]"
35.0472,"[1, 6, 2, 1]"
30.6584,"[1, 6, 2, 1]"
27.8837,"[1, 6, 2, 1]"
28.8580,"[1, 6, 2, 1]"
30.8638,"[1, 6, 2, 1]"
30.8200,"[1, 6, 2, 1]"
32.6401,"[1, 6, 2, 1]"
29.3020,"[1, 6, 2, 1]"
47.8385,"[1, 5, 2, 2]"
-127.5327,"[1, 6, 6, 6]"
36.6751,"[1, 5, 2, 2]"
53.5261,"[1, 5, 2, 2]"
22.6698,"[1, 5, 3, 2]"
30.5565,"[1, 6, 2, 2]"
-30.6946,"[1, 6, 5, 1]"
45.3486,"[1, 5, 2, 2]"
49.2588,"[1, 5, 2, 2]"
47.6313,"[1, 5, 2, 2]"
