业务ID,apply_time,opertime_min,opertime_max,min_begin,max_begin
8199,56370,57238,59450,868,3080
8200,56550,57283,58939,733,2389
8201,59490,59900,61590,410,2100
8202,59670,59906,61680,236,2010
8203,59790,59919,61700,129,1910
8204,59970,60124,61283,154,1313
8206,70950,71354,71631,404,681
8207,71190,71375,71700,185,510
8208,64530,64563,31100,33,-33430
8209,41790,41803,42454,13,664
8210,53250,53270,53507,20,257
8211,53550,53556,53732,6,182
8212,53790,53798,53905,8,115
8213,55830,55837,56087,7,257
8214,55950,55974,56057,24,107
8215,58290,58279,58404,-11,114
8216,58470,58501,59520,31,1050
8217,58710,58714,58824,4,114
8218,60150,60128,60274,-22,124
8219,60330,60319,60423,-11,93
8220,63030,63009,63337,-21,307
8221,63150,63181,63498,31,348
8222,47370,47393,47704,23,334
8223,52830,52830,52978,0,148
8224,54210,54239,54367,29,157
8226,62670,69019,69024,6349,6354
8227,32490,32485,32766,-5,276
8228,32670,32691,32912,21,242
8229,42150,42141,42852,-9,702
8230,42270,42256,43340,-14,1070
8231,48930,48943,49139,13,209
8232,53010,53002,53483,-8,473
8233,54570,54542,54796,-28,226
8234,63330,63322,63538,-8,208
8235,79590,80273,80489,683,899
8236,79710,79725,80730,15,1020
8237,80070,80303,80667,233,597
8238,80370,80367,80670,-3,300
8242,81450,81854,82860,404,1410
8243,81510,81882,82174,372,664
8244,81870,81888,82293,18,423
8245,82230,82293,83380,63,1150
8246,82350,82382,82950,32,600
8247,82470,82542,83248,72,778
8248,82830,82866,83252,36,422
8249,83010,83109,83391,99,381
8250,83250,83323,83478,73,228
8251,84990,85005,85407,15,417
8252,84990,85028,85448,38,458
8253,85230,85273,85470,43,240
8254,61710,61718,61903,8,193
8255,38910,38885,39021,-25,111
8256,35430,35428,35569,-2,139
8257,35850,35844,35989,-6,139
8258,36930,36901,37254,-29,324
8259,38430,38444,39460,14,1030
8260,38730,38707,38937,-23,207
8261,38790,38789,38932,-1,142
8262,38790,38812,38944,22,154
8263,38970,38958,39129,-12,159
8264,38970,38976,39236,6,266
8265,39150,39182,40190,32,1040
8266,39630,39650,39733,20,103
8267,39690,39711,39883,21,193
8268,39750,39776,40810,26,1060
8269,39870,39855,40016,-15,146
8270,39870,39867,40079,-3,209
8271,40050,40037,40110,-13,60
8272,40350,40358,40444,8,94
8273,40950,40957,41029,7,79
8274,41250,41243,41326,-7,76
8275,41250,41260,41365,10,115
8276,41310,41293,41428,-17,118
8277,41430,41430,41589,0,159
8278,41970,41986,42093,16,123
8279,42210,42207,42376,-3,166
8280,43530,43515,43655,-15,125
8281,43770,43790,43966,20,196
8282,44010,44017,44131,7,121
8283,44190,44169,44299,-21,109
8284,47490,47497,47613,7,123
8285,47670,47665,47753,-5,83
8286,47790,47821,47949,31,159
8287,47970,47959,48069,-11,99
8288,47970,47967,48082,-3,112
8289,48150,48167,48263,17,113
8290,48450,48444,48605,-6,155
8291,49650,49624,49738,-26,88
8292,50190,50212,50339,22,149
8293,50370,50378,50487,8,117
8294,51330,51330,51413,0,83
8295,51450,51469,51597,19,147
8296,51690,51721,51833,31,143
8297,51930,51912,52026,-18,96
8298,52050,52072,52152,22,102
8299,52230,52201,52294,-29,64
8300,52350,52365,52471,15,121
8301,52590,52619,52729,29,139
8302,52890,52906,52988,16,98
8303,52950,52945,53021,-5,71
8304,53070,53069,53186,-1,116
