time,users,queue
4.76408101250547,1.0,0.0
12.358510838917184,2.0,0.0
16.941272514710363,3.0,0.0
20.016022678459827,2.0,0.0
20.187638001444295,3.0,0.0
20.71718967878523,4.0,0.0
22.1742723090967,3.0,0.0
22.744126815356942,4.0,0.0
23.680026625196945,4.0,1.0
24.380214214052017,3.0,1.0
24.380214214052017,4.0,0.0
27.49369781236127,3.0,0.0
27.9094204745605,4.0,0.0
28.188852888938488,3.0,0.0
29.21326313394691,4.0,0.0
29.750598400047352,3.0,0.0
31.52613752009041,4.0,0.0
33.74698365645982,3.0,0.0
35.3408209902735,2.0,0.0
35.36932151126955,1.0,0.0
36.958119844427706,0.0,0.0
38.17275486861277,1.0,0.0
40.141758422747834,2.0,0.0
40.23411272219869,3.0,0.0
42.99374814819972,4.0,0.0
45.274429291757805,4.0,1.0
46.45516201629361,4.0,2.0
51.725317533530216,3.0,2.0
51.725317533530216,4.0,1.0
54.470308382715174,4.0,2.0
56.0588580644865,3.0,2.0
56.0588580644865,4.0,1.0
57.44227913558961,4.0,2.0
57.45163826987863,4.0,3.0
61.23599499493578,4.0,4.0
68.38170026287919,3.0,4.0
68.38170026287919,4.0,3.0
72.58790133649461,4.0,4.0
73.77242548341596,3.0,4.0
73.77242548341596,4.0,3.0
75.7237042356102,4.0,4.0
75.84412157559765,3.0,4.0
75.84412157559765,4.0,3.0
75.86406963130219,4.0,4.0
77.95922832940342,4.0,5.0
84.04918820381013,3.0,5.0
84.04918820381013,4.0,4.0
86.59241138864719,4.0,5.0
89.88146292318918,4.0,6.0
90.21716815895506,3.0,6.0
90.21716815895506,4.0,5.0
92.18777466782404,4.0,6.0
93.35880173554871,4.0,7.0
95.62305661513447,4.0,8.0
96.37013141392768,4.0,9.0
102.41545712928702,3.0,9.0
102.41545712928702,4.0,8.0
106.9568199783827,4.0,9.0
107.16535889199757,4.0,10.0
107.39028836180661,3.0,10.0
107.39028836180661,4.0,9.0
108.33830919130153,3.0,9.0
108.33830919130153,4.0,8.0
109.32112142732005,4.0,9.0
110.12532003368318,4.0,10.0
116.18808105043172,4.0,11.0
118.50446894434029,4.0,12.0
119.97341903733658,4.0,13.0
121.44163175925866,4.0,14.0
123.94807685536593,4.0,15.0
123.96783521811469,4.0,16.0
124.62206730358807,3.0,16.0
124.62206730358807,4.0,15.0
127.27377543099888,4.0,16.0
129.3888321643413,4.0,17.0
131.76226762254848,4.0,18.0
136.04007881322457,4.0,19.0
136.48168128054294,3.0,19.0
136.48168128054294,4.0,18.0
137.1751939693267,3.0,18.0
137.1751939693267,4.0,17.0
139.0903075649572,4.0,18.0
140.50887576073666,3.0,18.0
140.50887576073666,4.0,17.0
141.10480895520666,4.0,18.0
143.3316742674556,4.0,19.0
144.73774268491022,3.0,19.0
144.73774268491022,4.0,18.0
144.80997140620937,3.0,18.0
144.80997140620937,4.0,17.0
145.99607088888888,4.0,18.0
147.49676096872878,4.0,19.0
149.39058530387993,4.0,20.0
154.69832177403168,4.0,21.0
155.20620967677252,4.0,22.0
156.03372473170376,3.0,22.0
156.03372473170376,4.0,21.0
159.92371068948566,3.0,21.0
159.92371068948566,4.0,20.0
160.49781983257117,4.0,21.0
160.70818410847625,4.0,22.0
162.79077487524867,3.0,22.0
162.79077487524867,4.0,21.0
164.40738687804264,4.0,22.0
166.24827877992885,4.0,23.0
168.0236076425066,4.0,24.0
170.81874179883744,3.0,24.0
170.81874179883744,4.0,23.0
172.2788547495074,4.0,24.0
175.75358405258982,4.0,25.0
177.48573065328506,4.0,26.0
179.5860154737718,3.0,26.0
179.5860154737718,4.0,25.0
180.00003066416616,4.0,26.0
180.1658703895458,3.0,26.0
180.1658703895458,4.0,25.0
180.33488472222825,3.0,25.0
180.33488472222825,4.0,24.0
185.92936177508952,3.0,24.0
